       -6.1427900756     9739.5800938966         1         1         2      294.5089696067      763.2827127717      818.3024093697
       -5.9946715251     9737.8004778464         1         1         1      321.3776427959      639.9311143303      659.9101923379
       11.4196477247     9741.0661331538         1         3         4      364.8492497835      479.8628323188      549.8712689927
        8.8357014361     9736.5731260830         1         5         6      366.0114120890      538.8533683242      619.5625743322
       -4.3136103058     9738.7219956205         1         7         7      358.1042222403      536.0685692862      637.9705124755
       -0.8800651378     9735.2051073484         1         8         9      425.6588945783      527.4396871916      682.9494795429
       -7.6708213444     9740.1663653335         1         5         1      318.7010912092      680.2436122800      724.0463531388
       -3.4552497560     9733.8410961924         1        10         8      380.5599754460      625.3745447356      744.2071520027
       -4.1821216633     9735.5701459578         1         5         8      393.8945128190      600.7465501881      681.1533761175
       -3.9048299942     9738.0520356925         1         5        11      380.5032918789      601.9044545644      682.7252817420
       -4.0602178437     9734.4391763927         1         8         8      388.3305961446      601.2106422687      698.8347407221
       -3.3382360817     9736.4703294749         1         8        12      398.0136839265      511.8237684828      602.0955828871
       -4.4636087424     9743.9903963507         1        11         7      399.5772477262      479.8565025054      558.6738829963
        1.7182526746     9743.7012108759         1        13        14      393.7120368765      475.0867138281      616.0254715790
        4.3300422959     9745.4399451953         1        15        15      363.7316232195      515.7286511593      615.9931217692
        4.3857866654     9737.2684625505         1        16        14      378.2468583726      559.9992706408      770.5783285118
       11.1718649837     9737.8132780020         1        16        17      352.3440903012      623.4537355619      870.2287061559
       49.4830099729     9740.7126060966         1        14        14      381.0357097252      462.2896827703      561.9439266341
       14.1729557045     9741.0363083814         1        15        14      360.6472484525      489.0994534627      598.1232380882
        0.3549096777     9736.4501137182         1         2        14      299.9233926883      739.2456489049      776.5201145865
        3.2559609677     9733.3323583025         1        18        19      357.5086452211      602.3344521622      758.8620126807
        0.6260799572     9730.8396559343         1        20        21      370.2856032554      782.7011102762      903.5820631982
        0.8531181656     9733.1590306351         1        22        22      315.6317330262      651.8120215278      733.6433751129
       -3.3147853659     9740.1236543536         1        22        23      309.9513618257      660.9469258440      736.3191608007
        9.2553515383     9737.2062483710         1        22        18      305.8594399345      684.2522395339      761.8662524844
       -1.9905536233     9734.7959663275         1        22        22      319.5660491657      648.9012667522      737.5726969370
       -1.7051231542     9735.0363948469         1        24        25      339.2520185731      834.9809162617      912.5854858573
        0.5819066912     9732.9824455646         1        20        26      382.8525061792      711.0921975709      848.3890819766
        4.1967749851     9735.0045265264         1        27        24      274.5621255768      905.9892578496     1098.9373252049
        3.2971788210     9734.3018919339         1        28        25      394.6736049889      628.1618703037      864.1845968186
       10.5938980040     9736.6645294833         1        19        26      398.5484993937      506.8874109147      693.9646565446
        1.3499185546     9737.4642038555         1        29        25      375.2088152180      528.1503683168      653.2850218015
        2.3478542683     9733.6549545561         1        18         1      339.5170775683      654.6090807332      744.8110973244
        0.5319347892     9733.3531673242         1        30         1      323.7336739648      806.8845829175      900.0777242451
       -4.0737603655     9735.2620332776         1         5         5      336.8427295337      681.6721833247      716.8554413898
       -2.0384517373     9732.7414341701         1        31        32      342.5067264311      758.1646426502      888.7029683723
      -10.0344162828     9741.8594087808         1        11        33      391.7291722175      490.2303548471      629.9290831358
       -8.9746975229     9739.2825334248         1         1         1      320.7922697495      640.3887085929      659.0831693785
        0.4543852807     9735.5106912104         1        34        35      349.0341555884      681.0203512007      731.2358204204
       -0.7514311004     9736.0124846712         1        36        36      330.0563464459      693.6083390970      703.6807084692
       12.4783664834     9732.9277814556         1        37        36      433.0823447809      607.2245354143      686.9151389417
       -6.0090945007     9740.8830487200         1         1        38      334.4094132767      629.9467095362      649.9817367005
       -4.1876983252     9739.1314997129         1        39        40      336.3638047084      632.9891208382      672.9514415718
       -4.0375139454     9739.0934133081         1        36        40      320.8838755324      715.3365238806      732.2059848561
       -5.7808707253     9739.1620503723         1        39        39      324.2472272890      643.0313656374      675.6831977857
       -3.0222894967     9738.9816706717         1        36        34      370.7036553752      622.1384507564      661.2709709072
       -3.2114810676     9735.7053475704         1        35         1      315.6617894966      718.5643761351      744.6319056843
       -9.3681018160     9740.5435837191         1         1         1      320.3390903911      641.1361825716      660.3709819422
       -0.1327397368     9732.5796055635         1        41        41      277.2128335063      845.1387976740      901.1793514640
       -3.6757604405     9738.1914389747         1        38        41      280.4043058533      818.2635688917      855.0628872836
       11.3150291217     9733.8313903586         1        38        42      281.4068534183      831.0250367731      940.4342603660
       50.5665527268     9736.3511537931         1         1         1      323.9718294810      633.6443638491      659.3621176282
       12.0094353224     9734.0342095233         1         1        41      276.0928603941      867.2012397405      921.5435925932
       -0.8328122815     9733.3940222719         1        42        43      271.7843670114      920.8595560887      995.7539850703
        1.8555395412     9732.8425730168         1         4        44      303.6524038802      828.5981492473      939.9226042928
        0.6769843131     9731.7370781147         1        45        46      289.9213439786      834.5796904567     1008.4931985278
        3.6381209533     9731.7979423895         1        45        45      288.7839456764      809.6913134022     1008.4166059880
        9.0624293410     9735.2725550052         1        47        45      279.3750958134      823.9796144065      997.3168523320
       -7.0608505423     9739.9717800687         1        48        46      402.3246359029      463.3354723206      609.5382362074
       -9.2553653794     9742.4792447763         1         4        48      411.5816669678      439.8673947517      524.8953144064
       -7.2409428957     9739.7163932980         1        49        48      409.6499948583      459.1590014046      539.7750564063
       -7.8969502932     9737.6653751294         1        49         1      373.1994089066      548.6410080602      587.9739257247
        5.9272323880     9731.3088961443         1        50        51      273.7833420564      949.4597491060     1087.7260160429
       -1.9676348301     9741.2984439998         1        52        53      331.8153977739      593.8093653167      639.2080208766
        2.9133737056     9732.5601791975         1        54        55      361.7401815195      877.4263604284     1129.1179515426
       -3.5948012425     9738.7197922377         1        56        56      350.6866467034      563.4266469699      673.3428764336
       -1.5848669093     9735.5038366805         1        54        56      357.0909098961      709.5068928984      980.2150566654
       -4.8335838732     9741.0101651500         1        53        51      381.8524745475      551.0659095299      714.7135981840
        1.5793354145     9738.1456705968         1        57         2      332.0317036773      737.6000891380      883.9102128473
       -1.5967987607     9734.2511641116         1        50        57      282.8259344336      966.7634566283     1099.8886741838
        1.9796639365     9729.0641885178         1        50        50      267.8126599263     1017.8337659715     1107.0615339201
       -5.4450243523     9740.0280850806         1        58        53      373.8666884473      567.6932931128      709.0349166965
       -6.4407148268     9740.1225832964         1        56        56      349.5441177191      564.1025987861      672.6542944037
