      -20.3132672749     3933.1653208579     1       68.2999857124      111.4175096259      148.5251251399
      -21.7345926639     3932.4625314334     1       75.5485452814      105.1249805642      158.7345568607
      -21.1393675045     3930.6630452866     1       45.9986678895      161.6319144565      180.4814664734
      -11.9246045784     3933.2526105504     1       68.5062709910       96.8179459288      123.7996086766
      -11.1199243461     3933.7796810304     1       63.7285100201      104.7137295122      133.4304348253
      -15.9347864747     3931.7942392537     1       76.1554153658       94.0365254599      132.0131250730
       -8.9789630003     3935.2035109274     1       54.5167062758      112.8346350170      128.7610022996
      -14.5841146399     3932.2900098897     1       46.0573832460      151.4962615083      156.5747665434
      -10.9912724457     3934.6882110949     1       76.9292952440       86.2127887823      130.9756767128
       -8.9511757109     3935.2046450905     1       41.2712752341      147.1216583070      160.8934258772
      -13.3003664755     3930.9969230480     1       65.7414414842      109.4939128256      146.6121690300
      -18.1337052120     3933.1892087239     1       46.5408993886      149.4623478452      155.1530629683
      -10.6131788612     3933.0440207295     1       65.0303632121       97.3064664706      127.2351910964
      -13.4886263133     3933.6133730407     1       66.5803283112       99.6678237110      122.7707073804
      -10.2312472507     3933.2148072984     1       55.3422839246      123.2583762430      138.2903795682
      -10.3023569094     3934.9774756084     1       72.1473194614       89.2466946257      107.7449996428
      -11.8581178693     3934.8343234915     1       53.9624786669      122.8123488759      130.4875786641
       -9.6476289076     3933.3824462177     1       70.0323232996       86.4983025072      124.7170497963
       -9.3248957617     3937.0723609670     1       58.0523772220      119.6018460946      130.5119121878
       -9.3786409050     3936.0706349012     1       70.9454479011       88.4319742833      106.9914517808
       -6.2042625939     3935.4534170031     1       48.0484217127      126.8193130981      136.6906233944
       -6.5799266676     3936.3051827052     1       46.2021085815      127.8987962040      133.5743337631
